a 	в (куда)
ab	прочь
acide 	случаться, происходить
ad	к, по направлению к
adapta	приспосабливать
aeroplana	самолет
age	управлять
agri	поле, луг
agri-lo	ферма
agrio	дикий
akorda	согласиться
akorda 	согласно
akorda-co	таким образом
akro	наконечние, верхушка
akti	делать, акт
aktivi	занятой
aku	игла
alelo	друг друга
algo	боль
ali	любой
alo 	альтернатива, или
alti	высокий
ami	дружеский
amila	крахмалить
amorfo	комок
an	он, его
andro 	мужчина
animali, zoa	животное
ante 	впереди, спередиюю
anti	хотя, несмотря на
anti-co	однако
anti-co, sed	но
anua 	год
aperi	открывать
api	пчела
apo	cyимать, снять
aqa (hidro)	вода
ara	плуг
arca	арка
argenti, Ag 	серебро
arko	авторитет, власть
arma 	оружие
arme	армия
aroga	надменный
arti	искусство
arto	соединение, объединенный
asila	порт
asinus	осел
astro	звезда
atende	ожидание
atria	двор, коридор
audi (akusti)	слышать
austra	юг
auto kritici	совесть
auxi	помогать
avi	птица
axi	копье
babi	ребенок
baci	палка, брусок
baci (rami)	палка
baia	покупать
bali	посылать
bali	бросать
bali 	посылать
banka 	банк
baro 	давить
basi	сад, осадок
baso	низкий
bate	удар
benzina	бензин
bi	два
bibe	пить
bibli 	книга
bio (vita)	жизнь
birota	велосипед
bize	двадцать
blasto	почка
bola	шар, мяч
boni (eu-)	хороший, добрый
boreo	север
boteka, -bo 	лавка, магазин
botilia	бутылка
bovi	бык
braki 	рука
brasika	капуста
brika 	кирпич
brio	мох
brio	надуваться, разрастаться
bronto	греметь
brosa 	щетка, ксить
bruno	коричневый
buka	щека
buli	кипение
bus	автобус
butiri	масло
butona	пуговица
carta 	карта
casa	охота
cede	yield?
cek	чек
celebra	праздновать
centra	центр
cerka	искать
certifi	удостоверять
ceru 	воск
cervika	шея
ci	здесь
ciano	голубой
cide	убивать
cigni	лебедь
ciklo	круг
cirkulatio	движение
citri 	лемон
comuni 	общий
data	факт, новости
datu	дата
de	о
debi	следует
debito	долг
defekti	дефект
dek a six	10 в шестой степени
deka	10
demo	народ
demonstra	доказывать
dendro	дерево
denti	зуб
derma 	кожа
detekti	найти
dextro	правая сторона
di	день
di-bi	понедельник
dice	сказать
difere 	различаться
difusi	распространять
digita	палец, цифровой
diluti 	разжижать
diluvi	наводнение
dina	сила
diplo	удваивать
dipso	томимый жаждой
diptera	муха
dirigi 	руководить
disipa	расточать
disko	тарелка
disputa	спорить
dista (tele)	далекий
divide	делить
divina	предположение, гадать
dona	довать
dona odori	испускать запах (вонять)
dorsa 	зад, спина
drama	пьеса
drama	действие (театр)
dromo	бежать
du	продолжение, продолжающееся действие
duce-pe	экскурсовод, руководитель, проводник
dulo	раб
eduka	давать образование
efekti	эффект
eko	проживать
elasti	пружина, упругость
elefa 	слон
elekti	выбирать
elektro	электричество
enigma	 загадка, головоломка
enkefa	мозг
epi	на
equs (hipo)	лошадь
ergo	работа
ero	ошибка
ero	неправда
es	есть
este	чувствовать
este odori	чувствовать запах, нюхать
etio	порицать
etio	виновный
evita	избегать
ex	из
examina	экзамен, проверка
exempla	пример
exercise	упражнение
expekta	предполагать, рассчитывать
experi	опыт, испытание
extra	вне
faba	боб
face	сделать, строить
facia 	лицо
facili	легкий
faktora	фактор
fali	неудача
falsi	обманывать
famili	семья
famo	слава
farina	пыль, мука
faringi	горло
fatiga	шина, покрышка
fe	она, ее
fe-fili	дочь
feki (kopro)	экскремент
feli	кот
fenestra	окно
feno	казаться
fero	везти, перевозка
feru (Fe)	железо
fi	нитка
fikti	притворяться
filma 	пленка, фильм
filo	любить
fini	конец
fisi	состояние, форма
fiska	налог
fito	растение
fixa	установить
flash	вспышка
flavoro	вкус
flori (anto)	цветок
flu	течение
fluvi 	река, дождь
fo (FOrti)	очень
foeni 	финик
folia 	лист
fono (soni)	звук
fora	продырявить
forma (morfo)	форма
formika	муравей
formula	формула
fosi	копать
foto (lumi) 	свет
fragma	фехтовать
frakti	ломать
frea 	well?
frigi	холодный
frikti	трение
fru	наслаждаться
frustra	лишать, разочаровывать
fu	будущее время
fu pa	сделаю что-л. (закончить действие в будущем)
fugi	избегать, исчезнуть, спасаться бегством
fumi	дымить, курить
funda 	дно
funktio	полезный, пригодный
furka 	вилка
fusi	лить
fusili	пистолет
